File name,Method name,Work time,Result Profit,Result Weight,Capacity,Answer,Actual Answer,Match,Counter
1.txt,ExhaustiveSearch,2.09808349609375e-05,23,11,11,[0 1 0 1],[],True,16
1.txt,GreedySearch,1588503668.3420894,16,6,11,[1 1 0 0],[],True,0
1.txt,BranchBound,0.03015732765197754,23,11,11,[0. 1. 0. 1.],[],True,14
2.txt,ExhaustiveSearch,1.4678924083709717,1024,871,878,[1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1],[],True,1048576
2.txt,GreedySearch,1588503669.9047341,1018,837,878,[1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1],[],True,0
2.txt,BranchBound,0.0070037841796875,1024,871,878,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1.],[],True,20
3.txt,ExhaustiveSearch,1.411210536956787,1025,871,879,[1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1],[],True,1048576
3.txt,GreedySearch,1588503671.387999,1019,837,879,[1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1],[],True,0
3.txt,BranchBound,0.008417129516601562,1025,871,879,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1.],[],True,22
4.txt,ExhaustiveSearch,0.0011932849884033203,295,269,269,[0 1 1 1 0 0 0 1 1 1],[],True,1024
4.txt,GreedySearch,1588503671.398376,294,260,269,[0 1 1 0 1 0 0 1 1 1],[],True,0
4.txt,BranchBound,0.007970333099365234,295,269,269,[0. 1. 1. 1. 0. 0. 0. 1. 1. 1.],[],True,24
5.txt,ExhaustiveSearch,0.0001201629638671875,107,50,50,[1 0 0 1 0 0 0],[],True,128
5.txt,GreedySearch,1588503671.4069166,102,48,50,[1 1 0 0 1 1 0],[],True,0
5.txt,BranchBound,0.0054399967193603516,107,50,50,[1. 0. 0. 1. 0. 0. 0.],[],True,14
6.txt,ExhaustiveSearch,11.677928924560547,9767,9768,10000,[1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0],[],True,8388608
6.txt,GreedySearch,1588503683.5741253,9751,9750,10000,[1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0],[],True,0
6.txt,BranchBound,1228.8173124790192,9767,9768,10000,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],[],True,4407676
7.txt,ExhaustiveSearch,0.0011837482452392578,52,57,60,[0 0 1 0 1 1 1 1 1 1],[],True,1024
7.txt,GreedySearch,1588504912.393405,52,57,60,[0 0 1 0 1 1 1 1 1 1],[],True,0
7.txt,BranchBound,0.008312463760375977,52,57,60,[0. 0. 1. 0. 1. 1. 1. 1. 1. 1.],[],True,26
8.txt,ExhaustiveSearch,2.09808349609375e-05,35,18,20,[1 1 0 1],[],True,16
8.txt,GreedySearch,1588504912.4023297,35,18,20,[1 1 0 1],[],True,0
8.txt,BranchBound,0.0024671554565429688,35,18,20,[1. 1. 0. 1.],[],True,6
9.txt,ExhaustiveSearch,3.552436828613281e-05,130,60,80,[1 1 1 1 0],[],True,32
9.txt,GreedySearch,1588504912.40517,130,60,80,[1 1 1 1 0],[],True,0
9.txt,BranchBound,0.0015149116516113281,130,60,80,[1. 1. 1. 1. 0.],[],True,2
